year,industry1,industry2,industry3,retrench,retrench_permanent,retrench_term_contract
2012,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",240,230,10
2012,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",750,670,80
2012,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",1790,1730,70
2012,manufacturing,transport equipment,transport equipment,130,40,90
2012,manufacturing,other manufacturing industries,other manufacturing industries,540,510,30
2012,construction,construction,construction,650,450,200
2012,services,wholesale and retail trade,wholesale trade,1270,1230,50
2012,services,wholesale and retail trade,retail trade,560,560,-
2012,services,transportation and storage,land transport and supporting services,10,-,-
2012,services,transportation and storage,water transport and supporting services,150,150,-
2012,services,transportation and storage,air transport and supporting services,10,10,-
2012,services,transportation and storage,other transport and storage services,110,100,20
2012,services,accommodation and food services,accommodation,100,100,-
2012,services,accommodation and food services,food and beverage services,170,140,30
2012,services,information and communications,"telecommunications, broadcasting and publishing",340,340,-
2012,services,information and communications,it and other information services,390,260,130
2012,services,financial and insurance services,financial services,1310,1290,20
2012,services,financial and insurance services,insurance services,80,80,-
2012,services,real estate services,real estate services,60,30,30
2012,services,professional services,"legal, accounting and management services",560,540,20
2012,services,professional services,architectural and engineering services,470,130,340
2012,services,professional services,other professional services,200,200,-
2012,services,administrative and support services,security and investigation,20,-,10
2012,services,administrative and support services,cleaning and landscaping,20,20,-
2012,services,administrative and support services,other adminstrative and support services,240,120,120
2012,services,"community, social and personal services",public administration and education,50,50,-
2012,services,"community, social and personal services",health and social services,40,40,-
2012,services,"community, social and personal services","arts, entertainment and recreation",100,100,-
2012,services,"community, social and personal services","other community, social and personal services",60,50,10
2012,others,others,others,10,10,-
2013,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",40,20,10
2013,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",380,360,20
2013,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",220,210,10
2013,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",690,650,40
2013,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",2280,2280,-
2013,manufacturing,transport equipment,transport equipment,200,150,50
2013,manufacturing,other manufacturing industries,other manufacturing industries,1200,1170,30
2013,construction,construction,construction,1120,710,410
2013,services,wholesale and retail trade,wholesale trade,1180,1150,30
2013,services,wholesale and retail trade,retail trade,100,100,-
2013,services,transportation and storage,land transport and supporting services,10,10,-
2013,services,transportation and storage,water transport and supporting services,130,110,20
2013,services,transportation and storage,air transport and supporting services,100,20,80
2013,services,transportation and storage,other transport and storage services,210,180,20
2013,services,accommodation and food services,accommodation,10,10,-
2013,services,accommodation and food services,food and beverage services,210,190,20
2013,services,information and communications,"telecommunications, broadcasting and publishing",480,470,10
2013,services,information and communications,it and other information services,360,310,40
2013,services,financial and insurance services,financial services,1230,1220,10
2013,services,financial and insurance services,insurance services,40,40,-
2013,services,real estate services,real estate services,30,10,20
2013,services,professional services,"legal, accounting and management services",590,590,-
2013,services,professional services,architectural and engineering services,240,180,60
2013,services,professional services,other professional services,120,120,-
2013,services,administrative and support services,security and investigation,-,-,-
2013,services,administrative and support services,cleaning and landscaping,10,10,-
2013,services,administrative and support services,other adminstrative and support services,190,100,90
2013,services,"community, social and personal services",public administration and education,30,20,-
2013,services,"community, social and personal services",health and social services,10,10,-
2013,services,"community, social and personal services","arts, entertainment and recreation",40,20,10
2013,services,"community, social and personal services","other community, social and personal services",120,120,-
2013,others,others,others,10,10,-
2014,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",120,120,-
2014,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",150,150,-
2014,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",170,160,10
2014,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",1350,1070,280
2014,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",1290,1280,-
2014,manufacturing,transport equipment,transport equipment,440,280,160
2014,manufacturing,other manufacturing industries,other manufacturing industries,460,300,170
2014,construction,construction,construction,1690,990,700
2014,services,wholesale and retail trade,wholesale trade,1490,1390,100
2014,services,wholesale and retail trade,retail trade,700,700,-
2014,services,transportation and storage,land transport and supporting services,-,-,-
2014,services,transportation and storage,water transport and supporting services,210,190,10
2014,services,transportation and storage,air transport and supporting services,20,20,-
